id,AgeAbove35,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
0,0,False,Master,1,Man,False,Dev,7,4,Sweden,51552.0,"['C++', 'Python', 'Git', 'PostgreSQL']",4,0
1,0,False,Undergraduate,1,Man,False,Dev,12,5,Spain,46482.0,"['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Node.js', 'SQL', 'TypeScript', 'Git', 'Express', 'React.js', 'Vue.js', 'AWS', 'PostgreSQL']",12,1
2,0,False,Master,1,Man,False,Dev,15,6,Germany,77290.0,"['C', 'C++', 'Java', 'Perl', 'Ruby', 'Git', 'Ruby on Rails']",7,0
3,0,False,Undergraduate,1,Man,False,Dev,9,6,Canada,46135.0,"['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'Ruby', 'SQL', 'Git', 'jQuery', 'Laravel', 'Ruby on Rails', 'AWS', 'MySQL', 'PostgreSQL']",13,0
4,1,False,PhD,0,Man,False,NotDev,40,30,Singapore,160932.0,"['C++', 'Python']",2,0
5,0,False,Master,1,Man,False,Dev,9,2,France,38915.0,"['JavaScript', 'Python', 'Docker', 'Git', 'MySQL']",5,0
6,1,False,Master,1,Man,False,Dev,26,18,Germany,77831.0,"['C++', 'HTML/CSS', 'Java', 'JavaScript', 'Kotlin', 'Node.js', 'TypeScript', 'Docker', 'Git', 'Kubernetes', 'Angular', 'Express', 'Spring', 'AWS', 'Heroku', 'DynamoDB', 'PostgreSQL']",17,1
7,0,False,Master,1,Man,False,NotDev,14,5,Switzerland,81319.0,"['C++', 'Python', 'Docker', 'Git']",4,0
8,1,False,Undergraduate,1,Man,False,Dev,39,21,United Kingdom of Great Britain and Northern Ireland,68507.0,"['Python', 'Git', 'PostgreSQL']",3,0
9,1,False,Master,1,Man,False,Dev,20,16,Russian Federation,37752.0,"['Delphi', 'Java', 'SQL', 'Docker', 'Git', 'PostgreSQL']",6,0
10,0,False,Undergraduate,1,Man,True,Dev,4,2,Israel,122580.0,"['Bash/Shell', 'Go', 'Java', 'Node.js', 'Python', 'Scala', 'SQL', 'Docker', 'Git', 'Kubernetes', 'Terraform', 'AWS', 'Google Cloud Platform', 'Microsoft Azure', 'DynamoDB', 'MongoDB', 'MySQL', 'PostgreSQL']",18,1
11,0,False,Undergraduate,1,Man,True,Dev,6,2,Turkey,11832.0,"['Assembly', 'C', 'C#', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Matlab', 'Node.js', 'SQL', 'Git', 'Unity 3D', 'jQuery']",13,1
12,0,False,Master,1,Man,False,Dev,19,10,Germany,60535.0,"['C', 'C++', 'Java', 'Python', 'Git']",5,0
13,0,False,Undergraduate,1,Man,False,Dev,8,0,United States of America,103000.0,"['Assembly', 'C', 'Java', 'Kotlin', 'Rust', 'Docker', 'Git']",7,0
14,0,False,Master,1,Man,False,NotDev,6,3,France,25944.0,"['Bash/Shell', 'C#', 'C++', 'Python', 'Git']",5,0
15,1,False,Undergraduate,1,Man,True,Dev,22,15,Brazil,60480.0,"['C#', 'C++', 'JavaScript', 'PowerShell', 'SQL', 'TypeScript', 'Docker', 'Git', 'Kubernetes', 'ASP.NET Core ', 'React.js', 'Heroku', 'Microsoft Azure', 'Microsoft SQL Server', 'PostgreSQL', 'Redis']",16,1
16,0,False,Other,1,Man,True,Dev,7,1,Bulgaria,20556.0,"['C++', 'SQL', 'Git', 'MongoDB', 'MySQL']",5,0
