id,HaveWorkedWith
0,C++
0,Python
0,Git
0,PostgreSQL
1,Bash/Shell
1,HTML/CSS
1,JavaScript
1,Node.js
1,SQL
1,TypeScript
1,Git
1,Express
1,React.js
1,Vue.js
1,AWS
1,PostgreSQL
2,C
2,C++
2,Java
2,Perl
2,Ruby
2,Git
2,Ruby on Rails
3,Bash/Shell
3,HTML/CSS
3,JavaScript
3,PHP
3,Ruby
3,SQL
3,Git
3,jQuery
3,Laravel
3,Ruby on Rails
3,AWS
3,MySQL
3,PostgreSQL
4,C++
4,Python
5,JavaScript
5,Python
5,Docker
5,Git
5,MySQL
6,C++
6,HTML/CSS
6,Java
6,JavaScript
6,Kotlin
6,Node.js
6,TypeScript
6,Docker
6,Git
6,Kubernetes
6,Angular
6,Express
6,Spring
6,AWS
6,Heroku
6,DynamoDB
6,PostgreSQL
7,C++
7,Python
7,Docker
7,Git
8,Python
8,Git
8,PostgreSQL
9,Delphi
9,Java
9,SQL
9,Docker
9,Git
9,PostgreSQL
10,Bash/Shell
10,Go
10,Java
10,Node.js
10,Python
10,Scala
10,SQL
10,Docker
10,Git
10,Kubernetes
10,Terraform
10,AWS
10,Google Cloud Platform
10,Microsoft Azure
10,DynamoDB
10,MongoDB
10,MySQL
10,PostgreSQL
11,Assembly
11,C
11,C#
11,C++
11,HTML/CSS
11,Java
11,JavaScript
11,Matlab
11,Node.js
11,SQL
11,Git
11,Unity 3D
11,jQuery
12,C
12,C++
12,Java
12,Python
12,Git
13,Assembly
13,C
13,Java
13,Kotlin
13,Rust
13,Docker
13,Git
14,Bash/Shell
14,C#
14,C++
14,Python
14,Git
15,C#
15,C++
15,JavaScript
15,PowerShell
15,SQL
15,TypeScript
15,Docker
15,Git
15,Kubernetes
15,ASP.NET Core 
15,React.js
15,Heroku
15,Microsoft Azure
15,Microsoft SQL Server
15,PostgreSQL
15,Redis
16,C++
16,SQL
16,Git
16,MongoDB
16,MySQL
17,C#
17,HTML/CSS
17,JavaScript
17,Node.js
17,PowerShell
17,TypeScript
17,VBA
17,Docker
17,Kubernetes
17,Angular
17,ASP.NET
17,ASP.NET Core 
17,Express
17,Svelte
17,AWS
17,DigitalOcean
17,Microsoft Azure
17,Couchbase
17,MariaDB
17,Microsoft SQL Server
17,MongoDB
17,MySQL
17,PostgreSQL
17,Redis
17,SQLite
18,Bash/Shell
18,HTML/CSS
18,Java
18,Python
18,SQL
18,TypeScript
18,Ansible
18,Git
18,Terraform
18,Yarn
18,React.js
18,Spring
18,MySQL
18,SQLite
19,C
19,C#
19,HTML/CSS
19,Java
19,JavaScript
19,PHP
19,SQL
19,Docker
19,Git
19,Angular
19,ASP.NET Core 
19,jQuery
19,Spring
19,Microsoft SQL Server
19,MySQL
19,Oracle
19,SQLite
20,Bash/Shell
20,HTML/CSS
20,JavaScript
20,Python
20,SQL
20,Docker
20,Git
20,Django
20,FastAPI
20,Vue.js
20,Heroku
20,Oracle
21,C#
21,VBA
21,Git
21,ASP.NET
21,Microsoft SQL Server
21,MySQL
22,Bash/Shell
22,JavaScript
22,Node.js
22,TypeScript
22,Terraform
22,AWS
22,DynamoDB
23,HTML/CSS
23,JavaScript
23,SQL
23,TypeScript
23,Git
23,Express
23,Gatsby
23,React.js
23,AWS
23,Heroku
23,PostgreSQL
23,SQLite
24,Bash/Shell
24,C
24,C++
24,Matlab
24,PowerShell
24,Python
24,Git
25,HTML/CSS
25,JavaScript
25,PHP
25,Git
25,jQuery
25,React.js
26,Bash/Shell
26,C#
26,Dart
26,Delphi
26,Go
26,HTML/CSS
26,Java
26,JavaScript
26,Kotlin
26,Node.js
26,Objective-C
26,PHP
26,PowerShell
26,Python
26,SQL
26,Swift
26,TypeScript
26,Docker
26,Git
26,Unity 3D
26,Angular
26,Angular.js
26,ASP.NET
26,ASP.NET Core 
26,Django
26,Express
26,Flask
26,jQuery
26,Laravel
26,React.js
26,Spring
26,Vue.js
26,Google Cloud Platform
